,index,AccelA,AccelB,ButtonA,ButtonB,Car PositionXA,Car PositionXB,Car PositionYA,Car PositionYB,Car PositionZA,Car PositionZB,Car RotationXA,Car RotationXB,Car RotationYA,Car RotationYB,Car RotationZA,Car RotationZB,Car VelocityXB,Car VelocityYA,Car VelocityYB,Car VelocityZA,Car VelocityZB,CarVelocityXA,Frame Number,FrameRate ,FrameRate-XRDevice,GameTime,HeadPosXA,HeadPosXB,HeadPosYA,HeadPosYB,HeadPosZA,HeadPosZB,HeadrotXA,HeadrotXB,HeadrotYA,HeadrotYB,HeadrotZA,HeadrotZB,IndicatorsA,IndicatorsB,LeftHandA,LeftHandB,RightHandA,RightHandB,ScenarioTime,SteerA,SteerB,VRPosXA,VRPosXB,VRPosYA,VRPosYB,VRPosZA,VRPosZB,VRRotXA,VRRotXB,VRRotYA,VRRotYB,VRRotZA,VRRotZB,A_Head_Center_Distance,B_Head_Center_Distance,DeltaTime,A_Head_DeltaX,A_Head_DeltaZ,A_Head_DeltaY,B_Head_DeltaX,B_Head_DeltaY,B_Head_DeltaZ,A_Head_VelocityX,A_Head_VelocityY,A_Head_VelocityZ,B_Head_VelocityX,B_Head_VelocityY,B_Head_VelocityZ,Filtered_A_Head_VelocityX,Filtered_A_Head_VelocityY,Filtered_A_Head_VelocityZ,Filtered_A_Head_Velocity_Total,Filtered_B_Head_VelocityX,Filtered_B_Head_VelocityY,Filtered_B_Head_VelocityZ,Filtered_B_Head_Velocity_Total,RelVelocity_X,RelVelocity_Y,RelVelocity_Z,Rel_Distance_X,Rel_Distance_Y,Rel_Distance_Z,RelVelocity,Dot_Product,Rel_Pos_Magnitude,ApproachRate,RelativeRotation
0,1610,0.2201,0.0002,False,False,0.6085,-1.1112,-0.0468,-0.025,-29.9856,36.3493,0.0776,0.9056,358.8361,164.086,-0.002,0.0264,0.1197,-0.0045,-0.0179,2.3134,-1.6066,-0.0379,227851,71.99583,inf,3142.47,-0.2699,-2.4966,1.3316,0.8806,-29.7273,34.871,352.6035,353.7878,3.6488,183.8123,359.3764,357.782,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.5, 0.5, -0.7, 0.1)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.5, -0.5, 0.6)_0.94221_System.String[]","HandRight_(-1.7, 0.0, 1.2)_(-0.1, -0.4, -0.4, 0.8)_1.051929_System.String[]",0.0,0.0088,0.5359,0.227,-0.7092,1.0075,1.011,-29.803,36.2228,357.919,359.4758,358.9158,178.1476,1.0403,359.5006,29.758332780248292,34.97134697034131,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.01490508797780989,-0.0019230880355952922,0.9317384646499085,0.9318596602618807,-0.09759325070063932,-0.007692352142382237,-0.505290225650775,0.5146861441713886,0.08268816272282943,0.005769264106786944,1.4370286903006835,2.2267,0.45099999999999985,-64.5983,1.4394172686924764,0.45953701771107736,3.8567575332136195,0.1191511298684548,-180.1635
1,1611,0.2196,0.0001,False,False,0.6069,-1.1063,-0.047,-0.0258,-29.889,36.2827,0.0784,0.9062,358.8525,164.6646,-0.0026,0.0248,0.1123,-0.0046,-0.0180,2.3199,-1.5975,-0.0387,227854,72.00121,inf,3142.52,-0.2714,-2.5069,1.3314,0.8798,-29.6305,34.8184,352.6043,353.7889,3.6662,184.3973,359.3758,357.7811,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.5, 0.5, -0.7, 0.1)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.5, -0.5, 0.6)_0.94221_System.String[]","HandRight_(-1.7, 0.0, 1.2)_(-0.1, -0.4, -0.4, 0.8)_1.051929_System.String[]",0.041700000000005844,0.0081,0.518,0.2254,-0.705,1.0073,1.0103,-29.7064,36.1518,357.9077,359.5378,358.9189,178.3239,1.0213,359.593,29.661638764066968,34.91961589436516,0.041700000000005844,-0.0015000000000000013,0.09679999999999822,-0.00019999999999997797,-0.010299999999999976,-0.0008000000000000229,-0.05260000000000531,-0.03597122302157772,-0.004796163069543165,2.3213429256591045,-0.24700239808149957,-0.01918465227817532,-1.2613908872901185,-0.02208212147063373,-0.0028800258346383645,1.396810234984897,1.396987740531754,-0.14209085835614538,-0.011998572238076594,-0.7574433356986596,0.7707491061029204,0.12000873688551164,0.009118546403438229,2.1542535706835566,2.2355,0.4515999999999999,-64.4489,2.157612961497085,0.6534601585277051,3.8719995803202254,0.1687655551020649,-180.7311
2,1612,0.2196,0.0001,False,False,0.6053,-1.1017,-0.0472,-0.0265,-29.7922,36.2164,0.0792,0.9064,358.867,165.2216,-0.003,0.0221,0.1076,-0.0046,-0.0180,2.3263,-1.5889,-0.0390,227857,71.99751,inf,3142.56,-0.273,-2.5169,1.3312,0.879,-29.5335,34.7659,352.6051,353.7901,3.6813,184.9619,359.3755,357.779,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.5, 0.5, -0.7, 0.1)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.5, -0.5, 0.6)_0.94221_System.String[]","HandRight_(-1.7, 0.0, 1.2)_(-0.1, -0.4, -0.3, 0.9)_1.051929_System.String[]",0.08320000000000505,0.0081,0.4964,0.2238,-0.7012,1.0071,1.0096,-29.6095,36.0813,357.9412,359.5323,358.9441,178.4996,1.0048,359.7271,29.564746653573746,34.86796853015673,0.041499999999999204,-0.0016000000000000458,0.09700000000000131,-0.00019999999999997797,-0.010000000000000231,-0.0008000000000000229,-0.052499999999994884,-0.03855421686747172,-0.0048192771084332965,2.3373493975904376,-0.24096385542169693,-0.01927710843373586,-1.2650602409637564,-0.029755982381903592,-0.0038392584485469976,1.864915750572361,1.8651570751885267,-0.18333786075422298,-0.016315119000665974,-1.011160362077526,1.0277763531676987,0.1535818783723194,0.012475860552118976,2.876076112649887,2.2439,0.45219999999999994,-64.2994,2.8802008343544676,0.8429936470350075,3.8865488071038037,0.21690031152939343,-181.28060000000002
3,1613,0.2203,0.0001,False,False,0.6036,-1.0972,-0.0474,-0.0273,-29.6951,36.1504,0.08,0.9064,358.8806,165.7533,-0.003,0.0181,0.1057,-0.0046,-0.0180,2.3327,-1.5808,-0.0390,227860,71.99796,inf,3142.6,-0.2745,-2.5262,1.331,0.8781,-29.4363,34.7132,352.6059,353.7914,3.695,185.5025,359.3754,357.7756,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.5, 0.5, -0.7, 0.1)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.5, 0.6)_0.94221_System.String[]","HandRight_(-1.7, 0.0, 1.2)_(-0.1, -0.4, -0.3, 0.9)_1.051929_System.String[]",0.125,0.0087,0.471,0.2223,-0.6974,1.0069,1.0089,-29.5124,36.0114,357.9766,359.4987,358.9792,178.6747,0.9997,359.8704,29.467654622314278,34.81607387816725,0.04179999999999495,-0.0015000000000000013,0.09720000000000084,-0.00019999999999997797,-0.009299999999999642,-0.0009000000000000119,-0.05270000000000152,-0.0358851674641192,-0.004784688995215362,2.325358851674942,-0.22248803827753025,-0.021531100478471784,-1.260765550239423,-0.03698489804455434,-0.004803113870233657,2.3362410517771868,2.336538723110574,-0.22092822220000696,-0.020170540687413148,-1.2675459042461903,1.2868134089476106,0.18394332415545261,0.01536742681717949,3.6037869560233773,2.2516999999999996,0.45289999999999997,-64.1495,3.6085110126910487,1.0605275487751642,3.9000588034028403,0.27192604066632103,-181.8075
4,1614,0.2212,0.0,False,False,0.602,-1.0927,-0.0476,-0.028,-29.5977,36.0848,0.0807,0.9063,358.8943,166.2564,-0.0028,0.013,0.1057,-0.0047,-0.0183,2.3424,-1.5692,-0.0378,227863,71.99654,inf,3142.64,-0.2761,-2.5348,1.3308,0.8772,-29.3387,34.6603,352.6066,353.7929,3.7085,186.0157,359.3756,357.7711,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.5, 0.5, -0.7, 0.1)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.5, -0.5, 0.6)_0.94221_System.String[]","HandRight_(-1.7, 0.0, 1.2)_(0.0, -0.3, -0.3, 0.9)_1.051929_System.String[]",0.16670000000000584,0.0105,0.4429,0.2211,-0.6935,1.0067,1.0082,-29.415,35.942,358.0028,359.4473,359.0201,178.8169,1.0067,0.0377,29.370164751665932,34.76393370966525,0.041700000000005844,-0.0015999999999999903,0.09759999999999991,-0.00019999999999997797,-0.008600000000000385,-0.0009000000000000119,-0.05290000000000106,-0.03836930455634931,-0.004796163069543165,2.3405275779373196,-0.20623501199038802,-0.0215827338129469,-1.268585131894332,-0.036489218033541104,-0.004800819055368097,2.3413504570760386,2.341639697679059,-0.20358515885165318,-0.02063983032747244,-1.2712485880322149,1.287612477445951,0.16709594081811208,0.015839011272104343,3.6125990451082535,2.2587,0.4536,-63.998999999999995,3.616496065037681,1.0024136459835677,3.9121831590558234,0.25622871047415197,-182.30720000000002
5,1615,0.2226,0.0,False,False,0.6005,-1.0882,-0.0478,-0.0288,-29.5,36.0195,0.0811,0.9054,358.9094,166.7313,-0.0021,0.0089,0.1093,-0.0048,-0.0186,2.3490,-1.5620,-0.0362,227866,72.00077,inf,3142.68,-0.2776,-2.5426,1.3306,0.8764,-29.2409,34.6071,352.6071,353.7939,3.7229,186.5013,359.3762,357.7668,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.5, 0.5, -0.7, 0.1)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.5, -0.5, 0.6)_0.94221_System.String[]","HandRight_(-1.8, 0.0, 1.2)_(0.1, -0.3, -0.3, 0.9)_1.051929_System.String[]",0.20820000000000505,0.0129,0.4111,0.2198,-0.6899,1.0065,1.0075,-29.3173,35.8731,357.9919,359.3874,359.0744,178.9199,1.025,0.2149,29.272474971037212,34.71144281256543,0.041499999999999204,-0.0015000000000000013,0.09779999999999944,-0.00019999999999997797,-0.007800000000000029,-0.0008000000000000229,-0.053199999999996805,-0.03614457831325374,-0.0048192771084332965,2.3566265060241283,-0.18795180722891996,-0.01927710843373586,-1.2819277108433211,-0.0350133866504534,-0.00479619624759007,2.346302639908011,2.346568775634433,-0.18177128464980435,-0.021100955403314116,-1.2777089619018032,1.290746389329196,0.14675789799935096,0.016304759155724047,3.6240116018098143,2.265,0.45420000000000005,-63.848,3.627018584988013,0.937406445935879,3.9230950791435073,0.23894563527645477,-182.77839999999998
6,1616,0.2236,0.0,False,False,0.599,-1.0834,-0.048,-0.0296,-29.402,35.9545,0.0814,0.904,358.9273,167.173,-0.0009,0.0043,0.1158,-0.0049,-0.0188,2.3557,-1.5550,-0.0339,227869,71.99636,inf,3142.72,-0.279,-2.5493,1.3304,0.8755,-29.1428,34.5536,352.6074,353.7942,3.7397,186.9552,359.3772,357.7622,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.5, 0.5, -0.7, 0.1)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.5, 0.6)_0.94221_System.String[]","HandRight_(-1.8, 0.1, 1.2)_(0.1, -0.3, -0.2, 0.9)_1.051929_System.String[]",0.25,0.0155,0.3783,0.2188,-0.6858,1.0063,1.0068,-29.2194,35.8051,357.9522,359.3197,359.1601,178.9565,1.0012,0.3707,29.174485376780858,34.65857330733624,0.04179999999999495,-0.0014000000000000123,0.09809999999999874,-0.00019999999999997797,-0.006699999999999928,-0.0009000000000000119,-0.05349999999999966,-0.033492822966511515,-0.004784688995215362,2.3468899521533633,-0.16028708133973055,-0.021531100478471784,-1.279904306220242,-0.03361948568775005,-0.005285041581076987,2.357375447886288,2.3576210899505243,-0.15799656856056254,-0.02113208470521026,-1.2882064542635492,1.2980313360959999,0.12437708287281249,0.015847043124133275,3.645581902149837,2.2703,0.4549000000000001,-63.696400000000004,3.647737407325554,0.9313489008820648,3.932274948423623,0.23684734996860418,-183.2155
7,1617,0.2243,0.0,False,False,0.5976,-1.0784,-0.0482,-0.0304,-29.3038,35.8899,0.0816,0.9024,358.9489,167.5791,0.0005,-0.0007,0.1230,-0.0050,-0.0189,2.3624,-1.5479,-0.0313,227872,72.00223,inf,3142.77,-0.2803,-2.5548,1.3302,0.8746,-29.0443,34.4995,352.6075,353.7944,3.7598,187.3739,359.3786,357.7569,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.5, 0.5, -0.7, 0.1)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.5, -0.5, 0.6)_0.94221_System.String[]","HandRight_(-1.8, 0.0, 1.2)_(0.2, -0.2, -0.1, 0.9)_1.051929_System.String[]",0.29170000000000584,0.018,0.3487,0.2178,-0.6814,1.0061,1.006,-29.1211,35.7377,357.9369,359.2451,359.2369,178.9304,0.9743,0.4124,29.076096069108036,34.605020278133054,0.041700000000005844,-0.0012999999999999678,0.09850000000000136,-0.00019999999999997797,-0.00550000000000006,-0.0008999999999999009,-0.054100000000005366,-0.031175059952033228,-0.004796163069543165,2.362110311750301,-0.131894484412453,-0.02158273381294424,-1.2973621103116975,-0.031208782671217888,-0.005282746766211427,2.3639110806242387,2.3641229859352224,-0.13158210204765364,-0.021121758038315237,-1.2976473226215552,1.3044725187403523,0.10037331937643575,0.015839011272103812,3.661558403245794,2.2745,0.4556,-63.5438,3.6629681431730483,0.8900341589681766,3.939549561815412,0.22592282315596346,-183.61409999999998
8,1618,0.2255,0.0,False,False,0.5964,-1.0731,-0.0484,-0.0311,-29.2052,35.8255,0.0816,0.9007,358.9744,167.9513,0.0021,-0.0054,0.1297,-0.0050,-0.0189,2.3692,-1.5406,-0.0286,227875,71.99397,inf,3142.81,-0.2815,-2.5591,1.3299,0.8737,-28.9455,34.445,352.6074,353.7944,3.7837,187.7579,359.3802,357.7517,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.6, 0.5, -0.7, 0.0)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.5, 0.5)_0.94221_System.String[]","HandRight_(-1.8, 0.1, 1.3)_(0.1, -0.2, -0.1, 0.9)_1.051929_System.String[]",0.33320000000000505,0.0201,0.3201,0.2169,-0.6764,1.0059,1.0053,-29.0225,35.671,357.9592,359.2089,359.2896,178.7725,0.9421,0.4504,28.977402342342558,34.55098217851412,0.041499999999999204,-0.0011999999999999789,0.09880000000000067,-0.00029999999999996696,-0.0042999999999997485,-0.0009000000000000119,-0.05449999999999733,-0.028915662650602456,-0.007228915662649945,2.3807228915663265,-0.10361445783132123,-0.02168674698795251,-1.3132530120481536,-0.02829641377115625,-0.0052781239584344655,2.369804004839006,2.3699788115035587,-0.10454329935486673,-0.02110326680720313,-1.306969214505606,1.3113135311493351,0.07624688558371048,0.015825142848768663,3.6767732193446117,2.2776,0.45620000000000005,-63.3905,3.677597766096387,0.847840131515601,3.944918919318875,0.2149195329119687,-183.9742
9,1619,0.2268,0.0,False,False,0.5953,-1.0676,-0.0486,-0.0319,-29.1064,35.7615,0.0816,0.8991,359.0035,168.2934,0.0036,359.9912,0.1351,-0.0050,-0.0190,2.3761,-1.5332,-0.0258,227878,72.00121,inf,3142.85,-0.2826,-2.5622,1.3297,0.8728,-28.8463,34.39,352.6073,353.7942,3.8114,188.1104,359.3817,357.7476,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.6, 0.5, -0.7, 0.0)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.5, 0.5)_0.94221_System.String[]","HandRight_(-1.8, 0.1, 1.3)_(0.1, -0.2, -0.2, 0.9)_1.051929_System.String[]",0.375,0.0226,0.2939,0.2162,-0.6706,1.0056,1.0045,-28.9236,35.6049,357.9878,359.2001,359.3221,178.5333,0.8815,0.3936,28.878313464258955,34.49635848433861,0.04179999999999495,-0.0011000000000000454,0.09919999999999973,-0.00019999999999997797,-0.0030999999999998806,-0.0009000000000000119,-0.054999999999999716,-0.026315789473688473,-0.004784688995215362,2.3732057416270744,-0.07416267942584343,-0.021531100478471784,-1.3157894736843627,-0.02545327086460112,-0.005285041581078052,2.3818717975408807,2.382013656674295,-0.0777870879061983,-0.019688612976569285,-1.3194220882013297,1.3218597200003581,0.05233381704159718,0.014403571395491234,3.7012938857422104,2.2796,0.4569000000000001,-63.2363,3.701691872631724,0.8995927838869388,3.9483830209340125,0.22783827686355893,-184.299
10,1620,0.2277,0.0,False,False,0.5943,-1.0618,-0.0488,-0.0327,-29.0072,35.6977,0.0815,0.8965,359.0365,168.6065,0.0051,359.9909,0.1417,-0.0050,-0.0178,2.3831,-1.5251,-0.0227,227881,71.99754,inf,3142.89,-0.2835,-2.5644,1.3295,0.872,-28.7468,34.3346,352.6071,353.7929,3.8429,188.4337,359.3832,357.7453,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.6, 0.5, -0.7, 0.0)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.6, 0.5)_0.94221_System.String[]","HandRight_(-1.8, 0.1, 1.3)_(0.1, -0.2, -0.3, 0.9)_1.051929_System.String[]",0.41670000000000584,0.0247,0.2679,0.2157,-0.6641,1.0054,1.0037,-28.8243,35.5393,357.9998,359.2736,359.356,178.3172,0.7876,0.1046,28.77892375923742,34.441273038608784,0.041700000000005844,-0.0008999999999999564,0.09949999999999903,-0.00020000000000020002,-0.002200000000000202,-0.0008000000000000229,-0.055399999999998784,-0.021582733812945572,-0.004796163069548489,2.3860911270979637,-0.052757793764985454,-0.01918465227817532,-1.3285371702635735,-0.022089072271323958,-0.005761215665734027,2.3893540414109604,2.3894630890488022,-0.0518866599232282,-0.018242879611109656,-1.3283707187706049,1.3295088546608584,0.02979758765190424,0.012481663945375629,3.7177247601815653,2.2809,0.4574999999999999,-63.0814,3.7178651240506015,0.9814635594544758,3.950634686983852,0.2484318691090578,-184.5908
11,1621,0.2284,0.0,False,False,0.5934,-1.0557,-0.049,-0.0334,-28.9077,35.6344,0.0814,0.8929,359.0732,168.891,0.0065,359.9931,0.1479,-0.0051,-0.0173,2.3901,-1.5170,-0.0196,227884,71.99504,inf,3142.93,-0.2843,-2.5655,1.3293,0.8714,-28.6469,34.2789,352.6069,353.7892,3.8782,188.7276,359.3846,357.7456,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.6, 0.5, -0.7, 0.0)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.6, 0.5)_0.94221_System.String[]","HandRight_(-1.8, 0.1, 1.3)_(0.1, -0.2, -0.3, 0.9)_1.051929_System.String[]",0.45820000000000505,0.0268,0.2453,0.2152,-0.6568,1.0052,1.0028,-28.7248,35.4744,358.0052,359.4026,359.3995,178.0402,0.6952,-0.0057,28.679134306844063,34.385812676451316,0.041499999999999204,-0.0008000000000000229,0.09990000000000165,-0.00019999999999997797,-0.001100000000000101,-0.0006000000000000449,-0.05570000000000164,-0.01927710843373586,-0.0048192771084332965,2.4072289156627367,-0.02650602409638848,-0.014457831325302565,-1.3421686746988604,-0.018224404969021,-0.005274665147112671,2.3957034678937905,2.395778591002771,-0.028286070515238047,-0.01582399544133695,-1.3352644808693146,1.3356577909360319,0.010061665546217048,0.01054933029422428,3.730967948763105,2.2812,0.4579,-62.925799999999995,3.730996429934072,1.067537846954358,3.951154302226123,0.2701837906843819,-184.8494
12,1622,0.2296,0.0,False,False,0.5927,-1.0494,-0.0492,-0.0341,-28.808,35.5713,0.0813,0.889,359.1136,169.1502,0.0078,-0.0029,0.1517,-0.0051,-0.0170,2.3971,-1.5087,-0.0165,227887,71.99761,inf,3142.97,-0.2849,-2.5656,1.329,0.8708,-28.5466,34.2228,352.6067,353.7844,3.9172,188.994,359.386,357.7474,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.6, 0.5, -0.7, 0.0)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.6, 0.5)_0.94221_System.String[]","HandRight_(-1.8, 0.1, 1.3)_(0.0, -0.2, -0.3, 0.9)_1.051929_System.String[]",0.5,0.0293,0.2263,0.2147,-0.6489,1.005,1.0017,-28.6249,35.4099,358.0132,359.5269,359.4633,177.6333,0.6427,0.1499,28.578939458454368,34.32987963625856,0.04179999999999495,-0.0005999999999999894,0.10029999999999717,-0.00029999999999996696,-9.999999999976694e-05,-0.0005999999999999339,-0.056100000000000705,-0.014354066985647413,-0.007177033492823043,2.3995215311007003,-0.002392344497602369,-0.014354066985646086,-1.3421052631580737,-0.014407030206813559,-0.005281582769756258,2.407809307520205,2.40785820160093,-0.007670402099949408,-0.013927413899859242,-1.3439138150481273,1.3440078683562553,-0.006736628106864151,0.008645831130102984,3.7517231225683325,2.2807,0.45819999999999994,-62.769400000000005,3.7517391328513314,1.1609816744995984,3.9502882768223384,0.2938979621592343,-185.0768
13,1623,0.2308,0.0,False,False,0.5921,-1.043,-0.0494,-0.0348,-28.7079,35.5086,0.0812,0.8849,359.1576,169.3882,0.0091,0.0027,0.1552,-0.0051,-0.0167,2.4042,-1.5005,-0.0130,227890,71.99757,inf,3143.02,-0.2853,-2.565,1.3288,0.8704,-28.446,34.1666,352.6065,353.7788,3.9598,189.2381,359.3873,357.7509,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.6, 0.5, -0.7, 0.0)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.6, 0.5)_0.94221_System.String[]","HandRight_(-1.8, 0.1, 1.3)_(0.0, -0.2, -0.4, 0.9)_1.051929_System.String[]",0.5417000000000058,0.0318,0.2133,0.2145,-0.6406,1.0047,1.0007,-28.5247,35.3461,358.0163,359.6373,359.5483,177.1755,0.6076,0.3419,28.478448369424907,34.27380014996878,0.041700000000005844,-0.00040000000000001146,0.10060000000000002,-0.00019999999999997797,0.0005999999999999339,-0.00040000000000006697,-0.05619999999999692,-0.00959232613908766,-0.004796163069543165,2.412470023980478,0.014388489208629493,-0.00959232613908899,-1.3477218225417036,-0.01056895234374598,-0.00575775685441117,2.4157585462154945,2.415788527195797,0.01053665904539439,-0.012004359042310323,-1.3475843714260682,1.3476790285270626,-0.02110561138914037,0.006246602187899153,3.7633429176415625,2.2797,0.45840000000000003,-62.6126,3.763407283650537,1.2858859270130143,3.9485562260147695,0.32565977370185345,-185.2783
14,1624,0.2321,0.0,False,False,0.5917,-1.0365,-0.0497,-0.0355,-28.6075,35.4463,0.0811,0.8808,359.2058,169.6086,0.0105,0.0097,0.1568,-0.0051,-0.0165,2.4114,-1.4922,-0.0091,227893,71.99744,inf,3143.06,-0.2856,-2.5638,1.3286,0.8699,-28.345,34.1102,352.6062,353.7727,4.0065,189.4631,359.3886,357.7557,LeftFalse_RightFalse,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.6, 0.5, -0.7, 0.0)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.6, 0.5)_0.94221_System.String[]","HandRight_(-1.8, 0.0, 1.3)_(0.0, -0.2, -0.4, 0.9)_1.051929_System.String[]",0.583200000000005,0.0349,0.2041,0.2146,-0.6322,1.0045,0.9998,-28.4241,35.2828,358.0101,359.7021,359.6402,176.722,0.5872,0.4545,28.377557511526604,34.21747419798837,0.041499999999999204,-0.00030000000000002247,0.10100000000000264,-0.00019999999999997797,0.0011999999999998678,-0.0004999999999999449,-0.05640000000000356,-0.007228915662651283,-0.0048192771084332965,2.4337349397591463,0.02891566265059978,-0.012048192771083242,-1.3590361445784251,-0.005754298043089909,-0.0057531340466331436,2.422082547255546,2.4220962153096313,0.024950573696805162,-0.010551641698113292,-1.3491746173016073,1.3494465592387361,-0.03070487173989507,0.004798507651480148,3.771257164557153,2.2782,0.4587,-62.4552,3.7713852118350233,1.360232067509814,3.9459581498034164,0.34471527975469773,-185.4566
15,1625,0.2337,0.0,False,False,0.5914,-1.03,-0.0499,-0.0362,-28.5068,35.3844,0.081,0.8752,359.2589,169.8155,0.012,0.0147,0.1562,-0.0051,-0.0152,2.4187,-1.4836,-0.0047,227896,71.99708,inf,3143.1,-0.2857,-2.5622,1.3283,0.8695,-28.2436,34.0539,352.606,353.766,4.0577,189.6734,359.3901,357.7596,LeftFalse_RightTrue,LeftFalse_RightFalse,"HandLeft_(0.4, -0.6, -0.1)_(0.6, 0.5, -0.7, 0.0)_0.94221_System.String[]","HandLeft_(-1.8, -0.1, 1.3)_(0.8, -0.3, -0.2, -0.5)_1.051929_System.String[]","HandRight_(0.6, -0.6, -0.1)_(-0.3, -0.6, -0.6, 0.5)_0.94221_System.String[]","HandRight_(-1.8, 0.0, 1.3)_(0.1, -0.2, -0.4, 0.9)_1.051929_System.String[]",0.625,0.0378,0.1982,0.2147,-0.6237,1.0043,0.999,-28.3232,35.2201,358.0136,359.6978,359.7468,176.3037,0.5296,0.54,28.276261180361168,34.16122076712131,0.04179999999999495,-9.999999999998899e-05,0.10139999999999816,-0.00029999999999996696,0.0016000000000002679,-0.00039999999999995595,-0.05630000000000024,-0.002392344497607681,-0.007177033492823043,2.4258373205744115,0.03827751196173352,-0.009569377990430724,-1.3468899521532784,-0.001437701513430437,-0.005281582769755193,2.434708361517342,2.434714514628903,0.03458566910234997,-0.007680828300984073,-1.3501511550314493,1.3506158984194594,-0.036023370615780405,0.0023992455312288807,3.7848595165487913,2.2765,0.4588,-62.2975,3.7850317039120807,1.50501934450403,3.943013663430549,0.38169265261805224,-185.61569999999998
